timestamp,link,util_bps,capacity_bps,util_pct,congested
13:51:17,s2-s3,16164484,10000000,161.6,1
13:51:17,s3-s4,13124356,10000000,131.2,1
13:51:17,s1-s5,8104572,5000000,162.1,1
13:51:17,s5-s3,8102136,5000000,162.0,1
13:51:17,s2-s4,10044440,5000000,200.9,1
13:51:19,s1-s2,12140212,10000000,121.4,1
13:51:19,s2-s3,16136876,10000000,161.4,1
13:51:19,s3-s4,13121108,10000000,131.2,1
13:51:19,s1-s5,8091580,5000000,161.8,1
13:51:19,s5-s3,8107820,5000000,162.2,1
13:51:19,s2-s4,10047688,5000000,201.0,1
13:51:21,s1-s2,12152392,10000000,121.5,1
13:51:21,s2-s3,16144184,10000000,161.4,1
13:51:21,s3-s4,13121108,10000000,131.2,1
13:51:21,s1-s5,8101324,5000000,162.0,1
13:51:21,s5-s3,8103760,5000000,162.1,1
13:51:21,s2-s4,10046876,5000000,200.9,1
13:51:23,s1-s2,12156452,10000000,121.6,1
13:51:23,s2-s3,16172604,10000000,161.7,1
13:51:23,s3-s4,13130040,10000000,131.3,1
13:51:23,s1-s5,8106196,5000000,162.1,1
13:51:23,s5-s3,8106196,5000000,162.1,1
13:51:23,s2-s4,10049312,5000000,201.0,1
13:51:25,s1-s2,12148332,10000000,121.5,1
13:51:25,s2-s3,16157176,10000000,161.6,1
13:51:25,s3-s4,13119484,10000000,131.2,1
13:51:25,s1-s5,8098888,5000000,162.0,1
13:51:25,s5-s3,8100512,5000000,162.0,1
13:51:25,s2-s4,10039568,5000000,200.8,1
13:51:27,s1-s2,12147520,10000000,121.5,1
13:51:27,s2-s3,16156364,10000000,161.6,1
13:51:27,s3-s4,13121108,10000000,131.2,1
13:51:27,s1-s5,8099700,5000000,162.0,1
13:51:27,s5-s3,8102948,5000000,162.1,1
13:51:27,s2-s4,10049312,5000000,201.0,1
13:51:29,s1-s2,12156452,10000000,121.6,1
13:51:29,s2-s3,16140936,10000000,161.4,1
13:51:29,s3-s4,13133288,10000000,131.3,1
13:51:29,s1-s5,8102136,5000000,162.0,1
13:51:29,s5-s3,8107820,5000000,162.2,1
13:51:29,s2-s4,10046064,5000000,200.9,1
13:51:31,s1-s2,12151580,10000000,121.5,1
13:51:31,s2-s3,16130380,10000000,161.3,1
13:51:31,s3-s4,13119484,10000000,131.2,1
13:51:31,s1-s5,8096452,5000000,161.9,1
13:51:31,s5-s3,8099700,5000000,162.0,1
13:51:31,s2-s4,10042004,5000000,200.8,1
13:51:33,s1-s2,12145084,10000000,121.5,1
13:51:33,s2-s3,16152304,10000000,161.5,1
13:51:33,s3-s4,13117048,10000000,131.2,1
